timestamp,frame_id,frame_path,label,conf,fd_conf,fps,tracking_stability,cpu,mem,latency_ms,disk,model_size_mb
2025-08-18 22:48:50.929,681,live_camera,unknown,0.97265625,0.8587496280670166,31.69823282832996,37.14020101251473,18.8,69.3,1.3111000007484108,82.6,2.581878662109375
2025-08-18 22:48:50.977,682,live_camera,bezos,0.94140625,0.8698917627334595,20.80399103702991,36.61715999705603,17.4,69.3,1.2439999991329387,82.6,2.581878662109375
2025-08-18 22:48:51.008,683,live_camera,unknown,0.93359375,0.8575257062911987,31.330087541335253,36.791696158916075,17.6,69.3,1.3118000060785562,82.6,2.581878662109375
2025-08-18 22:48:51.041,684,live_camera,unknown,0.96875,0.8728019595146179,31.079741289757035,36.60707752607411,33.3,69.3,1.3510999997379258,82.6,2.581878662109375
2025-08-18 22:48:51.072,685,live_camera,unknown,0.9765625,0.8838716149330139,31.313115488474764,36.63417120667533,26.3,69.3,1.5179999900283292,82.6,2.581878662109375
2025-08-18 22:48:51.105,686,live_camera,bezos,0.8515625,0.8977590799331665,31.56764947344392,36.54620363320929,37.5,69.3,2.2099999914644286,82.6,2.581878662109375
2025-08-18 22:48:51.138,687,live_camera,unknown,0.98046875,0.879594087600708,29.779364682360953,36.54620363320929,50.0,69.4,1.9161999953212216,82.6,2.581878662109375
2025-08-18 22:48:51.169,688,live_camera,unknown,0.98046875,0.8585879802703857,32.386041614778954,36.56805513354518,31.2,69.6,1.7084999999497086,82.6,2.581878662109375
2025-08-18 22:48:51.200,689,live_camera,unknown,0.953125,0.8670749068260193,31.558384591969816,36.25350198601509,31.2,69.8,1.5459999995073304,82.6,2.581878662109375
2025-08-18 22:48:51.233,690,live_camera,unknown,0.94921875,0.8749038577079773,30.488176687111917,35.97552336311454,52.2,69.6,2.973099995870143,82.6,2.581878662109375
2025-08-18 22:48:51.266,691,live_camera,unknown,0.99609375,0.8710253238677979,31.01660009206521,36.14472860943903,22.2,69.6,2.041499988990836,82.6,2.581878662109375
2025-08-18 22:48:51.297,692,live_camera,unknown,0.98046875,0.8651900291442871,32.159511177024235,35.85850012549326,29.4,69.7,1.3502999936463311,82.6,2.581878662109375
2025-08-18 22:48:51.330,693,live_camera,unknown,0.9921875,0.8694285154342651,30.34330414584768,35.86656041844548,31.2,69.7,1.4559000119334087,82.6,2.581878662109375
2025-08-18 22:48:51.361,694,live_camera,unknown,0.9765625,0.8669785857200623,32.355234599730956,35.68306671237774,31.2,69.4,1.3381000026129186,82.6,2.581878662109375
2025-08-18 22:48:51.408,695,live_camera,unknown,0.86328125,0.8487735986709595,20.906812070408765,35.88893457599431,29.2,69.5,1.3402000040514395,82.6,2.581878662109375
2025-08-18 22:48:51.441,696,live_camera,unknown,0.97265625,0.827313244342804,30.851437988774737,35.99224091731439,62.5,69.5,1.3455000007525086,82.6,2.581878662109375
2025-08-18 22:48:51.473,697,live_camera,unknown,0.921875,0.8428761959075928,31.086987605187097,35.83060188232958,50.0,69.5,1.8401999986963347,82.6,2.581878662109375
2025-08-18 22:48:51.505,698,live_camera,unknown,0.87890625,0.8581729531288147,31.599370550460222,35.80819127657804,37.5,69.5,1.688000003923662,82.6,2.581878662109375
2025-08-18 22:48:51.537,699,live_camera,unknown,0.953125,0.8420127034187317,31.408514849224314,35.80819127657804,33.3,69.5,1.6505999956279993,82.6,2.581878662109375
2025-08-18 22:48:51.569,700,live_camera,unknown,0.984375,0.8084821105003357,30.555156637923623,35.772283265120215,35.3,69.6,1.4045999996596947,82.6,2.581878662109375
2025-08-18 22:48:51.601,701,live_camera,unknown,0.92578125,0.8429369330406189,31.977487855819014,35.64681349714165,29.4,69.6,1.3624999992316589,82.6,2.581878662109375
2025-08-18 22:48:51.633,702,live_camera,unknown,0.83203125,0.8128671050071716,30.90721961528424,35.50775663499456,61.1,69.8,1.4147000038065016,82.6,2.581878662109375
2025-08-18 22:48:51.665,703,live_camera,unknown,0.84765625,0.8184734582901001,31.185776791896338,35.7274841683542,62.5,69.8,2.0115000079385936,82.6,2.581878662109375
2025-08-18 22:48:51.697,704,live_camera,unknown,0.71484375,0.8297076225280762,31.498642419030002,35.79482548148545,100.0,69.5,1.4491000038105994,82.6,2.581878662109375
2025-08-18 22:48:51.729,705,live_camera,unknown,0.953125,0.8347675204277039,31.09220705729901,35.86656041844548,58.8,69.7,1.4865999983157963,82.6,2.581878662109375
2025-08-18 22:48:51.762,706,live_camera,unknown,0.953125,0.7933359146118164,30.31745405483345,35.88893457599431,68.8,69.8,1.3957000046502799,82.6,2.581878662109375
2025-08-18 22:48:51.809,707,live_camera,unknown,0.765625,0.8143059015274048,20.85436148529899,35.6914949602843,54.2,69.5,1.4150000060908496,82.6,2.581878662109375
2025-08-18 22:48:51.841,708,live_camera,unknown,0.859375,0.8305136561393738,32.21286259685024,35.390952675083504,43.8,69.5,1.313600005232729,82.6,2.581878662109375
2025-08-18 22:48:51.873,709,live_camera,unknown,0.984375,0.8232277631759644,31.431813401478315,35.23830701452611,33.3,69.5,1.2781999976141378,82.6,2.581878662109375
2025-08-18 22:48:51.905,710,live_camera,unknown,0.875,0.7589359879493713,31.459005766671478,35.59741256397717,29.4,69.5,1.3007999950787053,82.6,2.581878662109375
2025-08-18 22:48:51.937,711,live_camera,unknown,0.85546875,0.8010172247886658,30.951415563275205,35.58841323029168,12.5,69.5,1.2129000097047538,82.6,2.581878662109375
2025-08-18 22:48:51.969,712,live_camera,unknown,0.96484375,0.8061643838882446,31.435864557107084,35.27420489890594,29.4,69.4,1.2808000028599054,82.6,2.581878662109375
2025-08-18 22:48:52.001,713,live_camera,unknown,0.91015625,0.8307090401649475,30.828136215273705,35.35495235819163,12.5,69.4,1.4193999959388748,82.6,2.581878662109375
2025-08-18 22:48:52.032,714,live_camera,unknown,0.86328125,0.8093464970588684,31.737568391360984,35.28068256851049,12.5,69.4,1.3628000015160069,82.6,2.581878662109375
2025-08-18 22:48:52.064,715,live_camera,unknown,0.83984375,0.8206000924110413,31.094043929807917,35.530026913865406,12.5,69.4,1.2203000078443438,82.6,2.581878662109375
2025-08-18 22:48:52.097,716,live_camera,unknown,0.8671875,0.8218647241592407,31.186360338863206,35.251883814911224,12.5,69.4,1.5647999971406534,82.6,2.581878662109375
2025-08-18 22:48:52.129,717,live_camera,unknown,0.9140625,0.8200762867927551,31.319195841857983,35.19421561137568,18.8,69.4,1.2753000046359375,82.6,2.581878662109375
2025-08-18 22:48:52.161,718,live_camera,unknown,0.80859375,0.8468804359436035,31.291461182344023,35.39178047230741,12.5,69.4,1.2950999953318387,82.6,2.581878662109375
