Round,loss,accuracy
1,0.9524,0.5876
2,0.8688,0.6228
3,0.5359,0.7489
4,0.4554,0.7862
5,0.4607,0.7740
6,0.4042,0.7995
7,0.3218,0.8474
8,0.2674,0.8758
9,0.2335,0.9074
10,0.2350,0.8998
11,0.1960,0.9343
12,0.1861,0.9312
