Round,loss,accuracy
1,0.6550,0.6981
2,0.4040,0.8117
3,0.3549,0.8295
4,0.2847,0.8868
5,0.2293,0.9088
6,0.2173,0.9284
7,0.2183,0.9123
8,0.1982,0.9327
9,0.2707,0.8590
10,0.2119,0.8893
11,0.8220,0.7003
